245,1495,8
263,1497,5
122,4490,8
206,2007,7
159,2058,6
56,574,7
168,1544,0
168,2435,5
211,619,9
101,4167,9
133,776,2
149,4450,1
90,2453,4
288,5359,3
95,621,7
124,2446,6
122,4573,10
92,572,2
217,2812,8
184,1848,5
139,2233,0
10,1027,5
56,1703,9
214,1753,8
95,1499,1
139,4172,4
104,3711,6
145,478,1
133,1656,6
211,3501,5
184,1905,3
261,1250,8
286,2830,2
288,3058,2
95,753,3
267,3293,5
70,1187,7
101,1611,2
89,590,5
304,5179,3
93,2999,1
78,2174,7
286,2226,3
205,1875,10
219,1245,10
141,428,4
93,3141,3
101,1503,10
96,1344,4
74,524,0
286,5106,4
290,3097,4
188,1050,2
213,2196,7
101,4382,3
243,1905,8
157,1358,7
286,3134,0
90,2274,4
319,1459,6
49,1559,9
224,910,4
167,625,9
1,1054,1
49,661,7
95,727,0
206,3422,9
1,364,1
101,1998,6
54,381,10
12,370,9
100,616,5
168,3863,5
157,1197,2
77,1025,6
185,719,4
118,400,8
231,727,3
184,1540,10
93,3006,9
44,1455,9
240,392,4
319,1395,1
217,488,4
139,3970,8
70,1775,6
291,1813,2
106,1059,3
101,1875,5
84,1047,5
184,2033,0
179,2730,7
90,583,7
217,621,1
99,372,2
78,1967,8
302,2446,0
322,911,9
74,1116,7
148,2768,10
290,3137,9
29,377,7
179,1160,6
122,514,3
286,1555,3
81,572,0
122,585,8
101,4265,2
101,1744,0
56,1723,9
168,1994,3
283,2997,8
93,2018,8
111,565,1
286,1701,7
47,1106,7
184,2518,7
211,1644,1
101,2873,3
211,1847,4
189,1717,1
168,1621,8
222,1584,4
48,466,8
319,488,8
93,1477,6
157,543,10
302,792,9
219,1074,7
4,531,9
195,1525,8
0,516,10
286,2579,6
101,4296,8
101,2576,10
152,2703,7
90,2355,7
101,2820,2
167,1529,7
240,689,6
286,5108,1
158,1162,9
124,2260,5
78,1741,9
211,546,9
106,2714,7
90,2337,0
221,1989,4
91,1116,5
95,3413,8
256,387,2
147,1283,10
0,383,8
90,476,3
101,2824,2
206,2528,2
185,421,1
12,1229,3
197,1089,6
10,1213,9
90,2249,1
286,5149,6
125,1015,5
126,710,10
139,4643,6
195,750,2
255,2652,7
90,542,6
126,1584,5
0,453,5
139,2881,6
101,4284,0
211,2675,0
189,4140,1
222,2011,0
149,1451,8
275,2850,1
179,4447,3
101,2009,10
97,649,10
118,1298,4
224,1023,10
240,1644,6
1,368,6
126,1494,5
106,675,9
171,419,4
93,1891,5
243,1251,2
118,1180,9
320,2946,5
197,4896,1
203,843,5
253,1454,0
275,590,8
267,871,3
275,4139,3
263,1089,9
93,2847,3
93,3011,5
139,698,0
0,846,9
244,768,0
124,795,8
291,985,4
244,1489,3
262,1891,2
93,478,9
42,1401,1
13,1256,6
226,783,7
13,1118,7
139,1955,5
288,5281,10
179,880,8
118,525,2
101,705,9
288,5366,6
122,1039,2
289,3587,10
302,781,3
206,750,2
286,4193,7
179,1451,0
159,692,1
78,2116,3
54,433,6
195,2591,1
95,3201,2
290,390,9
175,910,3
211,386,1
0,887,0
211,931,1
184,910,6
76,445,10
244,1485,2
101,2134,7
211,775,10
1,1079,9
56,329,3
95,1715,9
101,2275,7
12,1227,0
56,754,9
0,765,4
310,662,8
56,1104,3
211,2257,10
42,592,10
138,1458,3
195,748,5
201,1932,2
10,488,5
75,648,9
195,3384,2
286,5088,0
195,1514,6
221,1956,2
195,3718,3
181,1253,9
101,3887,10
169,1601,5
224,879,4
152,1185,6
